PreyIndividuals_ID,stm_preyID,Length_mm,Length_Code,Weight_g,Comment
1140,2926,145,TL,0.31,
1141,2927,130,TL,0.71,
1142,2931,35,TL,2.19,
1143,2931,36,TL,1.61,
1144,2932,25,TL,1.04,
1145,2932,12,TL,0.34,
1146,2929,39,TL,1.41,
1147,2929,21,TL,0.32,
1148,2933,40,AP,3.18,AP ML
1149,2935,24.9,SL,0.64,
1150,2935,28.1,SL,1.47,
1151,2935,35.4,SL,3.43,
1152,2935,34.3,SL,3.13,
1153,2937,90,TL,0.87,size range
1154,2937,40,TL,0.37,
1155,2937,80,TL,0.92,
1156,2939,21.8,TL,1.03,
1157,2939,28.1,TL,1.34,
1158,2940,17,TL,0.76,
1159,2941,40,TL,0.18,
1160,2942,32.2,SL,4.12,
1161,2943,36.4,SL,4.77,
1162,2944,19,TL,0.82,
1163,2944,17,TL,0.7,
1164,2944,18,TL,0.69,
1165,2944,15,TL,0.64,
1166,2945,20,TL,0.44,
1167,2945,15,TL,0.28,
1168,2945,13,TL,0.34,
1169,2945,16,TL,0.51,
1170,2946,28,TL,1.42,
1171,2946,25,TL,1.28,
1172,2946,20,TL,0.37,
1173,2946,21,TL,0.45,
1174,2946,17,TL,0.26,
1175,2947,24.9,ML,3.34,
1176,2949,11.4,TL,0.21,
1177,2949,11.3,TL,0.21,
1178,2950,18.6,TL,0.28,
1179,2950,19.7,TL,0.42,
1180,2951,145,SL,3.67,
1181,2952,26,TL,0.66,
1182,2952,9.3,TL,0.1,
1183,2952,21.8,TL,1.11,
1184,2952,19.7,TL,0.42,
1185,2953,275,SL,63.02,
1186,2954,58.2,SL,9.48,
1187,2956,10.3,TL,0.18,
1188,2957,38.5,TL,1.69,
1189,2959,60,AP,8.6,
1190,2958,14.5,TL,0.63,
1191,2958,17.6,TL,0.77,
1192,2958,16.6,TL,0.69,
1193,2958,20.7,TL,0.71,
1194,2958,15.6,TL,0.59,
1195,2962,17.6,TL,0.64,
1196,2962,19.7,TL,0.91,
1197,2962,17.65,TL,0.77,
1198,2963,10.4,TL,0.29,
1199,2964,18.7,TL,1.05,
1200,2965,31.2,AP,1.4,AP TL
1201,2966,51.9,SL,8.23,
1202,2966,41.6,SL,7.12,
1203,2966,46.8,SL,8.16,
1204,2967,28.1,SL,2.42,
1205,2967,43.7,SL,5.09,
1206,2967,49.9,SL,5.67,
1207,2968,11,TL,0.15,
1208,2968,22,TL,0.89,
1209,2969,17,TL,0.39,
1210,2969,16,TL,0.33,
1211,2969,18,TL,0.37,
1213,2971,36.4,TL,0.83,
1214,2972,30.1,TL,0.77,
1215,2973,46.8,SL,5.86,
1216,2973,42.6,SL,8.28,
1217,2974,13.5,TL,0.35,representative size range
1218,2974,16.8,TL,0.38,representative size range
1219,2974,18.7,TL,0.4,representative size range
1220,2976,27,TL,0.78,representative size range
1221,2976,21.8,TL,0.73,representative size range
1222,2976,22.8,TL,0.4,representative size range
1223,2976,20.7,TL,0.39,representative size range
1224,2976,15.6,TL,0.17,representative size range
1225,2978,85,TL,2.75,30mm W
1226,2979,10,TL,0.05,<1mm W
1227,2980,7,TL,0.15,
1228,2981,9.3,TL,0.15,representative size range
1229,2981,8.3,TL,0.11,representative size range
1230,2981,7.2,TL,0.09,representative size range
1231,2983,39,ML,28.47,
1232,2985,22.8,SL,0.82,
1233,2986,55.1,SL,11.07,
1234,2987,19.7,TL,0.11,
1235,2987,38.5,TL,1.04,
1236,2987,33.3,TL,0.59,
1237,2988,31.2,TL,1.47,
1238,2989,17.7,TL,0.23,
1239,2989,29.1,TL,0.98,
1240,2990,41.6,TL,0.39,
1241,2990,36.4,TL,0.55,
1242,2990,35.3,TL,0.27,
1243,2991,7.2,TL,0.17,
1244,2992,19.7,TL,0.63,
1245,2993,20.7,TL,0.61,
1246,2994,97.8,TL,0.69,
1247,2994,36.4,TL,0.03,
1248,2994,42.6,TL,0.03,
1249,2997,19.7,TL,0.44,
